a	indef art one
relatively	in relation or proportion to sb/sth else; comparatively
relativity	state of being relative
relax	(make sth) become less tight, stiff, etc
relaxation	relaxing or being relaxed
relaxed	adj. not feeling or showing worry, anxiety, tenseness, etc
relay	fresh set of people or animals taking the place of others who have finished a period of work
release	~ sb/sth (from sth) allow (a person or an animal) to go; set free or liberate sb/sth ;
relegate	 banish; consign to inferior position
relegation	 n.
relent	decide to be less strict, determined or harsh
relenting	[ relent: ] to change one's mind about some decided course, esp. a harsh one; become more mild or amenable
relentless	not relenting; strict or harsh
relentlessly	 adv.
relevance	the relation of something to the matter at hand
relevant	 adj. ~ (to sth/sb)connected with what is being discussed, what is happening,what is being done, etc
reliability	n. state or quality of being reliable
reliable	 adj. consistently good inquality or performance, and so deserving trust; dependable
reliably	 adv: I am reliably informed that he's about to resign
reliance	 n. ~ on sb/sth confidence or trust in sb/sth; dependence on sb/sth
reliant	adj. ~ on sb/sth having reliance on sb/sth; dependent on sb/sth ;
relic	trace or feature surviving from a past age and serving to remind people of it
relict	 an organism or species surviving as a remnant of an otherwise extinct flora or fauna in an environment much changed from that in which it originated ; geological feature that is a remnant of a pre-existing formation after other parts have disappeared
relief	~ lessening or removing of pain, distress, anxiety, etc
relieve	lessen or remove
relieved	 adj. feeling or showing relief
religion	belief in the existence of a god or gods, who has/have created the universe and given man a spiritual nature which continues to exist after the death of the body
religious	of religion
relinquish	give up or cease to practise, feel, etc (sth); abandon
relinquishment	 [ relinquish: ] to give up (a task, struggle, etc.); abandon
reliquary	n. containerfor a relic or relics of a holy person
relish	~ great enjoyment of food, etc; zest
relocate	 v. ~ (from...) (to...) move (sb/sth) to, or build (sth) in, another place
reluctance	 Unwillingness.
reluctant	adj. ~ unwilling and therefore slow to co-operate, agree, etc
reluctantly	[ reluctant: ] not eager; unwilling; disinclined
rely	~ on/upon sb/sth (to do sth) count or depend on sb/sth
remain	be left or still present after other parts have been removed or used or dealt with
remainder	remaining people, things or time; the rest
remains	what is left after other parts have been removed or used or dealt with
remand	 v. send back (from a lawcourt) into custody, esp while further evidence is being gathered
remark	~ on/upon sth/sb say or write by way of comment; observe
remarkable	 adj. ~ worth noticing or unusual; exceptional
remediable	 adj. that can be remedied
remedial	providing, or intended to provide, a remedy or cure
remedy	(fml ) treatment, medicine, etc that cures or relieves a disease or pain
remember	have or keep (sth) in the memory; recall to one's memory
remembrance	remembering or being remembered; memory
remind	inform of a fact or tell (sb) to do sth he may have forgotten
reminder	thing which reminds sb of a fact or person
reminisce	v. ~ think or talk about past events and experiences, usu with enjoyment
reminiscence	recalling of past events and experiences; reminiscing ;
reminiscent	~ of sb/sth reminding one of or suggesting sb/sth
remiss	 adj. ~ (fml ) careless of one's duty; lax
remission	pardoning or forgiveness of sins by God
remit	refrain from inflicting (a punishment, etc)
remittance	remitting of money
remittent	adj. becoming less severe at intervals
remnant	small remaining quantity or part or number of things or people
remodel	to alter the structure of:REMAKE
remonstrance	 n. remonstrating; protest ;
remonstrant	Having the character of a reproof.
remonstrate	v. ~ with sb; ~ against sth make a protest or complaint about sb/sth
remorse	~ sense of deep and bitter regret for having done sth wrong
remorseful	 adj. filled with remorse(1)
remote	~ (from sth) far away from other communities, houses, etc; isolated
remoteness	 n.
removal	removing or being removed
remove	~ sth/sb (from sth) take sth/sb away from one place to another
remunerate	 v. ~ sb (fml ) pay or reward sb for work or services
remuneration	 n. payment; reward ;
remunerative	 adj. profitable
renaissance	the Renaissance revival of art and literature in the 14th, 15th and 16th centuries, based on classical forms 14 15 16
renal	adj. of, in or near the kidneys
renascence	 (n.) a new life; rebirth
renascent	adj. becoming active again; reviving
rend	tear (sth) apart forcibly; split
render	~ sth (for sth); ~ sth (to sb) give sth in return or exchange, or as sth which is due
rendering	performing a piece of music or a dramatic role
rendezvous	~ (with sb) (place chosen for a) meeting at an agreed time
rendition	n. way in which a dramatic role or piece of music, etc is performed; rendering
renegade	person that deserts a cause, political party, religious group, etc
renege	~ (on sth) fail to keep a promise, one's word, etc
renew	replace with sth new of the same kind
renewal	renewing or being renewed
renin	a proteolytic enzyme secreted by the kidneys, which plays an important part in the maintenance of blood pressure
renounce	agree to give up ownership or possession of (sth), esp formally
renouncement	 n. = renunciation 1
renovate	 v. restore to good condition
renovated	[ renovate: ] to restore (something) to good condition
renovation	renovating or being renovated
renown	 n. fame or distinction
renowned	 adj. ~ famous; celebrated
rent	regular payment made for the use of land, premises, a telephone, machinery, etc; sum paid in this way
rentability	[ rent: ] a payment made periodically by a tenant to a landlord or owner for the occupation or use of land, buildings, or other property, such as a telephone
rentable	 adj. that can be rented or that yields a rent
rental	amount of rent paid or received
renunciation	(formal declaration of) giving sth/sb up; renouncing
reorganize	 To change to a more satisfactory form of organization.
repaid	 pt, pp of repay
repair	restore to good condition
reparable	adj. (of a loss, etc) that can be made good ,
reparation	~ (for sth) compensating for damage; making amends for loss
repartee	sharp clever retorts
repast	 meal
repatriate	 v. ~ sb send or bring sb back to his own country
repay	~ sth (to sb) pay (money) back; refund sth
repayable	adj. that can or must be repaid
repayment	repaying
repeal	 v. withdraw officially; revoke ;
repeat	say or write (sth) again once or more than once; reiterate
repeatable	 adj. that can berepeated
repeatedly	 [ repeated: ] adj. done, made, or said again and again; continual or incessant
repel	drive (sb/sth) back or away; repulse
repellent	~ arousing distaste or disgust; repulsive
repent	~ (fml esp religion , ) feel regret or sorrow about (sth one has done or failed to do)
repentance	 n. ~ regret or sorrow for wrongdoing
repentant	adj. ~ feeling or showing repentance
repercussion	indirect effect or result of an event, etc; consequence
repertoire	 n. all the plays, songs, pieces, etc which a company, actor, musician, etc knows and is prepared to perform
repertory	performance of various plays for short periods by one company
repetition	repeating or being repeated
repetitive	 adj. characterized by or given to unnecessary repetition; boring
repine	 v. ~ (fml ) feel or show discontent; fret
replace	put back in its place
replaceable	adj. that can be replaced
replacement	replacing or being replaced
replenish	~ sth fill sth again
replete	well-fed or full; gorged
repletion	n. state of being replete(1)
replica	n. exact copy, esp one made by an artist of one of his own pictures, etc
replicate	v. be or make a copy of (sth); reproduce
reply	v. ~ (to sb/sth); ~ (with sth) say or make an answer, in speech or writing; respond
